CO_REGIAO;CO_UF;CO_MUNICIPIO;IN_CAPITAL;TP_DIMENSAO;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;IN_COMUNITARIA;IN_CONFESSIONAL;CO_CURSO;CO_CINE_ROTULO;CO_CINE_AREA_GERAL;CO_CINE_AREA_ESPECIFICA;CO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;TX_EVASAO;ANO_BASE
5;53;5300108;1;1;4;1;1;0;0;1281070;"""0115L04""";1;11;115;2;1;1;1;1;115;115;0;0;80;0;35;0;1224;1224;0;0;1118;0;106;0;82;59;23;82;0;41;0;41;0;0;0;0;0;41;0;0;0;71;3;4;1;1;1;1;35;10;32;0;0;5;258;177;81;258;0;0;172;49;16;7;6;3;5;100;29;114;2;0;13;72;46;26;72;0;0;41;21;5;2;1;0;2;25;11;33;2;0;1;82;0;258;0;72;0;12;2;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;8;0;2;0;121;115;54;5;53;0;47;45;23;2;24;0;70;12;0;213;45;0;59;13;0;0;0;0;0;19;7;19;3;17;0;17;17;0;0;0;0;0.3902439024390244;2023
5;53;5300108;1;1;4;1;1;0;0;1280246;"""0115L13""";1;11;115;2;1;1;1;1;56;56;0;0;41;0;15;0;565;565;0;0;559;0;6;0;43;32;11;43;0;41;0;15;0;26;0;0;0;2;0;0;0;31;5;3;2;1;0;1;14;6;23;0;0;0;101;81;20;101;0;0;64;16;9;3;3;5;1;37;15;45;0;1;3;21;18;3;21;0;0;9;8;3;0;0;1;0;8;3;10;0;0;0;43;0;101;0;21;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;16;9;0;5;7;3;3;2;0;0;0;29;14;0;83;18;0;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1395348837209303;2023
5;53;5300108;1;2;1;2;4;0;0;1183559;"""0115L04""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;16;5;0;0;9;9;0;0;0;0;0;0;12;0;0;0;3;7;5;1;2;3;0;4;3;11;1;0;2;38;26;12;0;0;0;8;14;2;6;3;4;1;8;8;18;0;0;4;3;2;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;21;0;38;0;3;0;0;0;0;0;19;0;0;0;0;19;0;0;19;0;35;0;0;0;0;35;0;0;35;0;3;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12;0;16;22;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7619047619047619;2023
5;53;5300108;1;2;1;2;4;0;0;1125999;"""0115L13""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;3;0;0;4;4;0;0;0;0;0;0;7;0;0;0;2;2;4;1;1;1;0;3;1;4;0;0;3;19;13;6;0;0;0;0;5;6;3;4;1;0;7;1;8;0;0;3;4;3;1;0;0;0;0;3;0;0;1;0;0;2;0;2;0;0;0;11;0;19;0;4;0;0;0;0;0;10;0;0;0;0;10;0;0;10;0;16;0;0;0;0;16;0;0;16;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;10;9;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3636363636363635;2023
5;53;5300108;1;2;1;2;4;0;0;1610952;"""0115L07""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;2;0;0;13;13;0;0;13;0;0;0;3;0;0;0;1;5;5;1;2;2;0;7;0;6;2;0;1;9;9;0;0;0;0;2;2;2;1;2;0;0;4;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;9;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0.75;2023
5;53;5300108;1;2;1;2;4;0;0;1258537;"""0115L12""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;25;5;0;0;17;17;5;0;12;0;0;0;13;0;0;0;11;6;5;4;3;1;0;12;3;12;1;0;2;37;31;6;0;0;0;11;8;5;5;6;2;0;18;2;16;0;0;1;2;0;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;29;1;36;1;2;0;1;1;0;0;3;0;0;0;0;3;0;0;1;2;9;0;0;0;0;9;1;0;5;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;5;0;30;7;0;2;0;0;0;0;0;0;0;0;0;0;13;3;11;1;0;0;0;0;0.6333333333333333;2023
5;53;5300108;1;2;1;2;4;0;0;1258526;"""0115L15""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;94;42;0;0;79;79;20;0;57;0;0;0;57;0;0;0;56;34;13;12;18;3;0;58;24;44;4;0;6;187;139;48;0;0;0;73;47;23;11;25;6;2;80;29;70;3;0;5;27;19;8;0;0;0;7;9;3;3;4;0;1;12;2;12;1;0;0;136;0;187;0;27;0;8;7;5;0;7;0;0;0;0;7;2;0;2;4;14;0;0;0;0;14;4;0;5;6;3;0;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;19;0;158;29;0;23;4;0;0;0;0;0;0;0;0;0;64;34;52;6;0;0;0;0;0.6176470588235294;2023
5;53;5300108;1;2;1;2;4;0;0;1468001;"""0115L17""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;8;0;0;7;7;0;0;7;0;0;0;4;0;0;0;5;2;2;1;1;0;0;3;3;4;0;0;1;15;4;11;0;0;0;6;3;5;0;1;0;0;4;1;8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0.7272727272727273;2023
5;53;5300108;1;2;1;2;4;0;0;89379;"""0115L13""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;27;8;0;0;35;29;0;0;6;0;0;0;0;0;0;0;8;8;6;3;7;3;0;10;2;11;1;0;11;36;27;9;0;0;0;9;6;7;5;4;3;2;11;0;17;2;0;6;6;5;1;0;0;0;0;0;0;3;1;2;0;0;0;5;1;0;0;35;0;36;0;6;0;1;0;1;0;19;0;0;0;0;19;0;0;19;0;20;0;0;0;0;20;0;0;20;0;3;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;4;0;31;5;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.0285714285714285;2023
5;53;5300108;1;2;1;2;4;0;0;1420105;"""0115L15""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;48;21;0;0;68;66;1;0;1;0;0;0;1;0;0;0;32;6;11;10;7;2;1;18;6;18;2;0;25;96;71;25;0;0;0;35;15;14;16;13;2;1;24;6;35;1;0;30;13;8;5;0;0;0;2;1;3;3;3;1;0;6;1;6;0;0;0;69;0;96;0;13;0;3;2;2;0;44;0;0;0;0;44;1;0;40;3;40;0;0;0;0;40;2;0;34;4;6;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;8;0;81;15;0;12;1;0;0;0;0;0;0;0;0;0;12;2;7;0;0;0;0;0;0.8695652173913043;2023
