0
NO_REGIAO
NO_UF
SG_UF
NO_MUNICIPIO
NO_CURSO
NO_CINE_ROTULO
CO_CINE_ROTULO
NO_CINE_AREA_GERAL
NO_CINE_AREA_ESPECIFICA
NO_CINE_AREA_DETALHADA
