Arquivo;Modelo;Accuracy;F1-score (weighted);ROC-AUC (weighted, ovr);Precision (weighted);Recall (weighted)
mega_dataset_filtrado_simples.csv;XGBoost;0.4926315789473684;0.48312792250994907;0.7518171711386805;0.47787321329981286;0.4926315789473684
mega_dataset_filtrado_simples.csv;LightGBM;0.4936842105263158;0.4886236140028519;0.739656700280304;0.4861107952315719;0.4936842105263158
mega_dataset_filtrado_simples.csv;RandomForest;0.4747368421052632;0.4639281179312411;0.7346384092515945;0.45870751169441054;0.4747368421052632
mega_dataset_filtrado_simples.csv;LogisticRegression;0.4242105263157895;0.41930868158945556;0.6827152178422691;0.4177455400765944;0.4242105263157895
mega_dataset_filtrado_simples.csv;MLP;0.4126315789473684;0.41298559332150664;0.6708999276908946;0.41344072366673534;0.4126315789473684
microdados_filtrado_2022.csv;XGBoost;0.46827794561933533;0.4673761643290072;0.7386526975508898;0.46693773611673245;0.46827794561933533
microdados_filtrado_2022.csv;LightGBM;0.486404833836858;0.4830237632942931;0.7360019526254408;0.4822100105332734;0.486404833836858
microdados_filtrado_2022.csv;RandomForest;0.43202416918429004;0.43203332917651616;0.7199392488088919;0.43339539452347736;0.43202416918429004
microdados_filtrado_2022.csv;MLP;0.459214501510574;0.4508955256521888;0.6949644619744411;0.46974258213329395;0.459214501510574
microdados_filtrado_2022.csv;LogisticRegression;0.44108761329305135;0.443476378893776;0.6930486673240116;0.44778159762012243;0.44108761329305135
microdados_filtrado_2023.csv;RandomForest;0.43119266055045874;0.41632696120196605;0.714574916347876;0.4132886025597366;0.43119266055045874
microdados_filtrado_2023.csv;XGBoost;0.43730886850152906;0.42834998416610415;0.7129148956894751;0.4253703718578474;0.43730886850152906
microdados_filtrado_2023.csv;LightGBM;0.42201834862385323;0.4177846909227369;0.69480359357921;0.41804397253993575;0.42201834862385323
microdados_filtrado_2023.csv;LogisticRegression;0.41284403669724773;0.4110330105739752;0.6639491019016486;0.40983683507561847;0.41284403669724773
microdados_filtrado_2023.csv;MLP;0.39755351681957185;0.3983426059867831;0.6449665048467623;0.4096735656452659;0.39755351681957185
microdados_filtrado_2024.csv;RandomForest;0.49146757679180886;0.49022800021976204;0.7495273593637395;0.4924882473839197;0.49146757679180886
microdados_filtrado_2024.csv;XGBoost;0.5017064846416383;0.4960566669691177;0.7409559729272573;0.4955883841164035;0.5017064846416383
microdados_filtrado_2024.csv;LightGBM;0.45733788395904434;0.45343498796420256;0.724808314915981;0.4528562258585259;0.45733788395904434
microdados_filtrado_2024.csv;MLP;0.4300341296928328;0.43392498899992255;0.6942355123423288;0.4406907656630096;0.4300341296928328
microdados_filtrado_2024.csv;LogisticRegression;0.43686006825938567;0.4394881964640444;0.6941625431182962;0.44667955120888053;0.43686006825938567
