arquivo;modelo;R2;MAE;RMSE
mega_dataset_filtrado.csv;LightGBM;0.300407002407334;0.29269841153761245;0.4804728533034636
mega_dataset_filtrado.csv;XGBoost;0.2908243156881263;0.29391574865069814;0.48375230386557516
mega_dataset_filtrado.csv;RandomForest;0.24653840366481972;0.3021653096302789;0.49862803051115717
mega_dataset_filtrado.csv;MLP;0.03074616790211604;0.36075200572785077;0.5655420366654824
microdados_filtrado_2022.csv;LightGBM;0.07657180925218887;0.3265782898655712;1.1179551732447912
microdados_filtrado_2022.csv;XGBoost;0.06938484650522736;0.3273010766655049;1.122297216001981
microdados_filtrado_2022.csv;MLP;0.05340376078608278;0.36128992536651816;1.1318925799642385
microdados_filtrado_2022.csv;RandomForest;0.036964785591906635;0.34072508498494175;1.1416787286806007
microdados_filtrado_2023.csv;LightGBM;0.2843345103156948;0.27304431669498586;0.40544347187330537
microdados_filtrado_2023.csv;XGBoost;0.27944837610132434;0.27202286948324306;0.4068251797978204
microdados_filtrado_2023.csv;RandomForest;0.2622390197136454;0.2770932609291937;0.4116547351811069
microdados_filtrado_2023.csv;MLP;-0.20792458166429162;0.36776000465309006;0.5267386472917591
microdados_filtrado_2024.csv;LightGBM;0.2683510785225691;0.3077972287302587;0.5789843444542162
microdados_filtrado_2024.csv;XGBoost;0.2625512792022454;0.3024262355735436;0.5812746263308965
microdados_filtrado_2024.csv;RandomForest;0.2373937522357462;0.30821646204686615;0.5911063595430011
microdados_filtrado_2024.csv;MLP;-0.005311453222406337;0.38159200012693845;0.6786811194607918
