Arquivo;Modelo;Accuracy;F1-score (Alto Risco);ROC-AUC;Precision (Alto Risco);Recall (Alto Risco)
mega_dataset_filtrado.csv;XGBoost;0.7305263157894737;0.7270788912579957;0.8091908091908092;0.7060041407867494;0.7494505494505495
mega_dataset_filtrado.csv;LightGBM;0.7147368421052631;0.7120085015940489;0.7909645909645909;0.6893004115226338;0.7362637362637363
mega_dataset_filtrado.csv;RandomForest;0.708421052631579;0.7068783068783069;0.7843179043179044;0.6816326530612244;0.734065934065934
mega_dataset_filtrado.csv;MLP;0.6536842105263158;0.6503719447396387;0.7013741813741814;0.6296296296296297;0.6725274725274726
mega_dataset_filtrado.csv;LogisticRegression;0.6378947368421053;0.630901287553648;0.6904073704073704;0.6163522012578616;0.6461538461538462
microdados_filtrado_2022.csv;XGBoost;0.7341389728096677;0.7142857142857143;0.8115497076023391;0.7432432432432432;0.6875
microdados_filtrado_2022.csv;LightGBM;0.7311178247734139;0.7138263665594855;0.8069809941520468;0.7350993377483444;0.69375
microdados_filtrado_2022.csv;RandomForest;0.6918429003021148;0.6751592356687898;0.777266081871345;0.6883116883116883;0.6625
microdados_filtrado_2022.csv;MLP;0.6918429003021148;0.6530612244897959;0.7557383040935671;0.7164179104477612;0.6
microdados_filtrado_2022.csv;LogisticRegression;0.6676737160120846;0.6428571428571429;0.7354166666666666;0.668918918918919;0.61875
microdados_filtrado_2023.csv;LightGBM;0.7370030581039755;0.7278481012658228;0.8049320621574957;0.7098765432098766;0.7467532467532467
microdados_filtrado_2023.csv;RandomForest;0.7370030581039755;0.7345679012345679;0.8014413332332408;0.7;0.7727272727272727
microdados_filtrado_2023.csv;XGBoost;0.7217125382262997;0.707395498392283;0.8008032429997749;0.7006369426751592;0.7142857142857143
microdados_filtrado_2023.csv;LogisticRegression;0.7064220183486238;0.7125748502994012;0.7442384205389986;0.6611111111111111;0.7727272727272727
microdados_filtrado_2023.csv;MLP;0.6880733944954128;0.6832298136645962;0.7259214773665641;0.6547619047619048;0.7142857142857143
microdados_filtrado_2024.csv;RandomForest;0.7610921501706485;0.7482014388489209;0.8079040686823441;0.7591240875912408;0.7375886524822695
microdados_filtrado_2024.csv;XGBoost;0.726962457337884;0.7202797202797203;0.7995987308697274;0.7103448275862069;0.7304964539007093
microdados_filtrado_2024.csv;LightGBM;0.7133105802047781;0.704225352112676;0.7899869354236656;0.6993006993006993;0.7092198581560284
microdados_filtrado_2024.csv;LogisticRegression;0.7167235494880546;0.7046263345195729;0.7655841731989548;0.7071428571428572;0.7021276595744681
microdados_filtrado_2024.csv;MLP;0.6996587030716723;0.6901408450704225;0.7653508771929824;0.6853146853146853;0.6950354609929078
