Arquivo;Modelo;Accuracy;F1-score (Alto Risco);ROC-AUC;Precision (Alto Risco);Recall (Alto Risco)
mega_dataset_filtrado_simples.csv;XGBoost;0.7410526315789474;0.7366167023554604;0.8079698079698079;0.7181628392484343;0.756043956043956
mega_dataset_filtrado_simples.csv;LightGBM;0.7294736842105263;0.7314524555903866;0.8001154401154402;0.6972111553784861;0.7692307692307693
mega_dataset_filtrado_simples.csv;RandomForest;0.7094736842105264;0.7118997912317327;0.7885758685758686;0.6779324055666004;0.7494505494505495
mega_dataset_filtrado_simples.csv;MLP;0.6947368421052632;0.692144373673036;0.7363836163836164;0.6694045174537988;0.7164835164835165
mega_dataset_filtrado_simples.csv;LogisticRegression;0.6347368421052632;0.6256742179072277;0.677922077922078;0.614406779661017;0.6373626373626373
microdados_filtrado_2022.csv;LightGBM;0.7009063444108762;0.6837060702875399;0.7964181286549706;0.6993464052287581;0.66875
microdados_filtrado_2022.csv;MLP;0.7341389728096677;0.7215189873417721;0.7916301169590642;0.7307692307692307;0.7125
microdados_filtrado_2022.csv;XGBoost;0.716012084592145;0.7006369426751592;0.7898026315789474;0.7142857142857143;0.6875
microdados_filtrado_2022.csv;RandomForest;0.6978851963746223;0.6855345911949685;0.7817616959064327;0.689873417721519;0.68125
microdados_filtrado_2022.csv;LogisticRegression;0.676737160120846;0.6514657980456026;0.7338815789473685;0.6802721088435374;0.625
microdados_filtrado_2023.csv;RandomForest;0.7553516819571865;0.7530864197530864;0.8093236243525261;0.7176470588235294;0.7922077922077922
microdados_filtrado_2023.csv;XGBoost;0.7308868501529052;0.725;0.8090608813152166;0.6987951807228916;0.7532467532467533
microdados_filtrado_2023.csv;LightGBM;0.72782874617737;0.7174603174603175;0.7976503265520607;0.7018633540372671;0.7337662337662337
microdados_filtrado_2023.csv;LogisticRegression;0.7155963302752294;0.7084639498432602;0.745139253809774;0.6848484848484848;0.7337662337662337
microdados_filtrado_2023.csv;MLP;0.6697247706422018;0.6727272727272727;0.7297875534869755;0.6306818181818182;0.7207792207792207
microdados_filtrado_2024.csv;RandomForest;0.7201365187713311;0.7050359712230215;0.8023516237402015;0.7153284671532847;0.6950354609929078
microdados_filtrado_2024.csv;XGBoost;0.7030716723549488;0.698961937716263;0.7920399402762225;0.6824324324324325;0.7163120567375887
microdados_filtrado_2024.csv;MLP;0.6996587030716723;0.6857142857142857;0.7744960806270996;0.6906474820143885;0.6808510638297872
microdados_filtrado_2024.csv;LightGBM;0.6962457337883959;0.6877192982456141;0.773936170212766;0.6805555555555556;0.6950354609929078
microdados_filtrado_2024.csv;LogisticRegression;0.7064846416382252;0.6928571428571428;0.7543393057110861;0.697841726618705;0.6879432624113475
